User117,32,user117@example.com,Houston,456-789-0123
User24,53,user24@example.com,San Antonio,678-901-2345
User25,31,,New York,
User144,42,user144@example.com,Phoenix,567-890-1234
User3,44,user3@example.com,Philadelphia,567-890-1234
User159,29,user159@example.com,Philadelphia,567-890-1234
User149,33,user149@example.com,Phoenix,
User137,30,user137@example.com,Houston,123-456-7890
User184,24,user184@example.com,New York,567-890-1234
User123,32,user123@example.com,Phoenix,234-567-8901
User66,56,user66@example.com,New York,234-567-8901
User171,47,user171@example.com,San Antonio,
User63,48,user63@example.com,,
User176,43,user176@example.com,,345-678-9012
User45,34,user45@example.com,San Antonio,678-901-2345
User162,60,user162@example.com,Houston,567-890-1234
User46,34,user46@example.com,Chicago,678-901-2345
User119,36,user119@example.com,San Diego,123-456-7890
User142,31,user142@example.com,San Diego,123-456-7890
User124,30,user124@example.com,New York,678-901-2345
User197,57,user197@example.com,New York,567-890-1234
User191,41,user191@example.com,New York,234-567-8901
User8,26,user8@example.com,San Antonio,678-901-2345
User140,23,,,345-678-9012
User3,22,user3@example.com,New York,456-789-0123
User169,24,,,678-901-2345
User78,48,user78@example.com,New York,567-890-1234
User49,27,user49@example.com,San Diego,234-567-8901
User21,20,user21@example.com,Los Angeles,345-678-9012
User38,25,user38@example.com,San Diego,456-789-0123
User90,58,user90@example.com,Chicago,123-456-7890
User169,43,,,
User120,44,user120@example.com,Phoenix,345-678-9012
User100,26,user100@example.com,Houston,
User122,45,user122@example.com,Phoenix,234-567-8901
User175,48,user175@example.com,Los Angeles,345-678-9012
User55,18,user55@example.com,Phoenix,567-890-1234
User56,20,user56@example.com,Phoenix,678-901-2345
User181,51,user181@example.com,New York,234-567-8901
User29,26,user29@example.com,Chicago,234-567-8901
User72,41,user72@example.com,Los Angeles,234-567-8901
User155,54,user155@example.com,Chicago,567-890-1234
User39,22,user39@example.com,Houston,456-789-0123
User172,21,user172@example.com,New York,234-567-8901
User15,22,user15@example.com,San Antonio,234-567-8901
User51,45,user51@example.com,New York,123-456-7890
User101,51,user101@example.com,San Antonio,456-789-0123
User97,46,user97@example.com,Houston,
User125,19,user125@example.com,New York,234-567-8901
User115,47,user115@example.com,Phoenix,567-890-1234
User138,49,user138@example.com,Philadelphia,456-789-0123
User84,44,user84@example.com,Chicago,567-890-1234
User124,51,user124@example.com,San Diego,567-890-1234
User171,39,user171@example.com,San Antonio,567-890-1234
User5,60,user5@example.com,Philadelphia,678-901-2345
User74,26,,Philadelphia,234-567-8901
User182,36,user182@example.com,New York,678-901-2345
User127,27,user127@example.com,Los Angeles,456-789-0123
User41,36,user41@example.com,San Diego,345-678-9012
User117,45,user117@example.com,Philadelphia,
User178,41,user178@example.com,Phoenix,567-890-1234
User168,48,user168@example.com,Philadelphia,
User27,27,user27@example.com,,567-890-1234
User13,43,user13@example.com,San Diego,456-789-0123
User146,57,,New York,234-567-8901
User75,43,user75@example.com,,
User28,45,user28@example.com,Philadelphia,123-456-7890
User138,34,user138@example.com,San Antonio,456-789-0123
User166,35,user166@example.com,Philadelphia,123-456-7890
User200,26,user200@example.com,Phoenix,345-678-9012
User95,29,user95@example.com,San Antonio,345-678-9012
User181,40,user181@example.com,Phoenix,678-901-2345
User186,59,user186@example.com,Chicago,
User176,44,user176@example.com,Houston,123-456-7890
User95,53,user95@example.com,San Diego,456-789-0123
User83,35,user83@example.com,San Diego,234-567-8901
User39,27,user39@example.com,San Antonio,678-901-2345
User134,20,user134@example.com,Chicago,567-890-1234
User110,19,user110@example.com,Phoenix,567-890-1234
User78,22,,San Antonio,
User20,23,,New York,678-901-2345
User6,58,user6@example.com,Los Angeles,345-678-9012
User43,52,user43@example.com,Los Angeles,123-456-7890
User76,33,user76@example.com,Philadelphia,234-567-8901
User189,23,,Houston,678-901-2345
User129,26,user129@example.com,Philadelphia,345-678-9012
User194,53,user194@example.com,San Antonio,678-901-2345
User139,34,user139@example.com,San Diego,345-678-9012
User14,53,user14@example.com,Chicago,345-678-9012
User86,23,,New York,345-678-9012
User140,56,user140@example.com,New York,678-901-2345
User151,30,user151@example.com,Chicago,345-678-9012
User154,50,user154@example.com,Chicago,234-567-8901
User136,42,user136@example.com,Philadelphia,234-567-8901
User97,24,user97@example.com,,345-678-9012
User197,38,user197@example.com,,567-890-1234
User98,28,user98@example.com,Phoenix,345-678-9012
User102,50,user102@example.com,,678-901-2345
User12,43,user12@example.com,San Diego,234-567-8901
User157,26,user157@example.com,Houston,456-789-0123
Name,Age,Email,City,Phone
